universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
강원대학교,식품생명공학과,0.2,0.35,0.15,0.3,73.5,7,6.14,3,60.0,62.0,86.0,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,약학과,0.2,0.35,0.15,0.3,96.2,12,9.42,10,95.0,95.0,97.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,에너지자원공학과,0.2,0.35,0.15,0.3,67.5,8,3.50,4,58.0,74.0,69.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,영상문화학과,0.2,0.35,0.15,0.3,74.2,13,5.00,3,74.0,59.0,82.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,원예·농업자원경제학부,0.2,0.35,0.15,0.3,73.5,7,4.71,3,56.0,78.0,80.0,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,의생명융합학부,0.2,0.35,0.15,0.3,64.8,15,4.80,10,58.0,74.0,63.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,의예과,0.2,0.35,0.15,0.3,97.2,16,8.88,15,98.0,99.0,96.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,정치외교학과,0.2,0.35,0.15,0.3,76.0,7,5.86,4,82.0,57.0,82.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,지역건설공학과,0.2,0.35,0.15,0.3,70.2,4,7.00,1,61.0,81.0,69.5,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,행정·심리학부,0.3,0.25,0.2,0.25,73.5,21,7.14,7,79.0,48.0,83.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,화공·생물공학부,0.2,0.35,0.15,0.3,71.2,20,3.70,13,40.0,66.0,89.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,KU자유전공학부,0.2,0.35,0.15,0.3,92.8,62,6.2,46,94.0,85.0,96.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,건축학부,0.2,0.35,0.15,0.3,88.2,39,6.6,55,93.0,90.0,85.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,경영학과,0.3,0.25,0.2,0.25,91.5,67,4.5,81,88.0,90.0,94.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
