region,universityName,admissionGroup,departmentName,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,percentile70,ratioKor,ratioMath,ratioEng,ratioTam
부산,국립부경대학교,가군,지구경시스템과학부 (환경대기과학전공),5,6.40,11,62.4,66.0,57.6,60.9,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,지구환경시스템과학부 (해양학전공),5,6.40,5,63.0,62.8,61.3,62.1,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,컴퓨터ㆍ인공지능공학부,20,3.30,10,74.1,67.4,64.6,67.7,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,행정복지학부,11,5.45,5,68.0,54.0,71.0,66.0,0.3,0.25,0.2,0.25
부산,국립부경대학교,가군,화학공학과,10,4.30,13,73.4,72.8,66.7,69.9,0.2,0.35,0.15,0.3
부산,국립부경대학교,가군,화학과,6,4.50,6,65.0,76.0,60.2,65.4,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,간호학과,6,3.67,4,68.0,74.0,69.0,70.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,건축학부 건축공학전공,6,4.83,8,47.0,57.0,51.0,51.7,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,건축학부 건축학전공,5,5.4,4,60.0,48.0,59.0,55.7,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,경영계열자율전공학부,6,5.67,8,60.0,41.0,67.0,56.0,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,경영학과,6,8.5,10,65.0,51.0,83.0,66.3,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,공학계열자율전공학부,12,5.17,19,63.0,63.0,52.0,59.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,공학융합학부,18,5.28,10,61.0,59.0,61.0,60.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,국어국문학과,6,12,11,60.0,43.0,77.0,60.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,국제관계학과,4,3.75,5,61.0,51.0,85.0,65.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,국제무역학과,8,8.63,5,51.0,54.0,85.0,63.3,0.3,0.25,0.2,0.25
